Age,Education_Num,Marital_Status,Occupation,Relationship,Sex,Capital_Gain,Capital_Loss,Hours_per_Week,Income
45,10,2,11,0,1,0,2415,40,1
18,8,4,7,3,1,1055,0,28,0
20,10,4,0,3,0,0,0,28,0
17,8,4,0,3,0,0,0,28,0
29,9,2,5,0,1,0,0,40,0
34,14,2,3,0,1,0,0,40,1
48,8,4,6,4,1,0,0,40,0
27,10,4,7,3,1,0,0,40,0
52,9,2,2,0,1,0,0,40,0
39,9,4,6,1,0,0,0,28,0
44,11,2,10,0,1,0,0,40,0
51,10,2,3,0,1,0,0,60,1
46,9,4,7,1,1,0,0,28,0
43,10,2,2,0,1,0,0,45,1
37,9,2,11,0,1,0,0,47,0
19,9,4,7,3,0,34095,0,28,0
32,11,2,12,0,1,0,0,45,1
29,11,4,11,1,1,0,0,40,0
19,10,4,7,3,0,0,0,28,0
26,11,4,8,2,0,0,0,35,0
30,8,2,2,0,1,0,0,40,0
46,8,5,3,4,0,0,0,28,0
59,11,0,3,1,1,0,0,40,0
35,9,0,5,2,1,0,0,40,0
44,8,2,6,0,1,0,0,40,0
48,13,3,3,1,0,0,0,50,1
60,9,6,6,4,0,0,0,40,0
22,11,4,0,3,0,0,0,28,0
38,10,4,2,3,1,0,0,47,0
42,13,0,3,1,0,0,0,55,1
33,11,4,11,1,0,0,0,40,0
61,11,2,2,0,1,0,1887,60,1
44,9,2,2,0,1,0,0,40,1
58,8,2,5,0,1,0,0,40,0
27,11,2,0,0,1,0,0,28,0
24,11,4,3,3,0,0,0,40,0
34,9,2,2,0,1,0,0,47,0
33,13,2,3,0,1,0,0,50,1
63,8,2,0,0,1,0,0,40,0
20,9,4,0,3,1,0,0,40,0
47,10,2,3,0,1,0,0,40,1
56,9,2,6,0,1,0,0,40,0
50,13,2,2,0,1,0,1887,50,1
34,10,2,2,0,1,0,0,45,0
44,11,2,2,0,1,7688,0,40,1
33,9,2,13,0,1,0,0,40,0
20,8,4,7,3,0,0,0,40,0
56,10,2,2,0,1,0,0,50,1
24,11,4,11,1,1,0,0,47,0
19,10,4,0,3,0,0,0,28,0
35,15,2,9,0,1,0,0,40,1
58,10,0,11,1,0,0,0,40,0
33,10,2,7,5,0,0,0,28,0
51,9,2,13,0,1,0,0,47,0
17,8,4,0,3,0,0,0,28,0
42,10,2,3,0,1,7298,0,52,1
25,11,4,0,3,0,0,0,38,0
29,11,4,9,1,1,0,0,40,0
36,10,0,3,1,0,0,0,39,0
58,9,4,11,2,0,0,0,40,0
25,9,4,6,1,1,0,0,40,0
51,10,2,10,0,1,0,0,40,1
28,9,4,2,1,1,0,0,47,0
46,9,4,5,3,1,0,0,28,0
58,10,4,9,1,0,0,0,47,0
43,10,2,3,0,1,0,0,55,1
19,9,4,7,3,1,0,0,40,0
45,11,0,11,1,1,0,0,47,0
42,9,2,7,5,0,0,0,28,0
44,9,2,11,0,1,0,0,47,0
21,10,4,7,3,0,0,0,37,0
34,9,5,3,1,1,0,0,47,0
20,9,4,11,4,1,0,0,45,0
23,10,0,0,2,0,0,0,28,0
48,11,0,0,4,0,0,0,40,0
22,11,4,7,2,1,0,0,40,0
17,8,4,7,3,1,0,0,28,0
38,9,2,2,0,1,0,0,47,0
38,9,2,2,0,1,0,0,40,0
25,8,4,7,1,1,0,0,47,0
31,8,0,6,1,1,0,0,40,0
55,9,2,13,0,1,0,0,32,0
20,9,4,2,3,1,0,0,40,0
26,10,4,11,1,0,0,0,37,0
42,11,2,6,0,1,0,0,40,0
37,10,2,11,0,1,0,0,47,0
67,16,4,9,1,0,7896,0,50,1
28,10,2,0,0,1,0,0,40,0
35,10,4,11,1,1,0,0,47,0
26,10,4,0,3,0,0,0,35,0
34,9,3,5,1,1,0,0,40,0
22,9,2,10,3,1,0,0,40,0
50,11,2,0,0,1,0,0,40,0
41,9,0,11,4,0,0,0,40,0
34,13,4,3,1,1,0,0,40,1
51,9,2,2,0,1,0,0,40,0
39,10,0,3,4,0,0,0,39,0
66,11,0,11,1,1,401,0,28,0
18,9,4,4,3,1,0,0,40,0
66,10,2,3,0,1,0,0,45,0
41,11,4,0,3,0,0,0,40,0
77,9,6,10,1,1,0,0,47,0
28,9,2,4,0,1,0,0,47,0
41,10,5,13,1,1,0,0,35,0
32,9,0,7,4,0,0,0,47,0
23,11,4,0,3,0,0,0,40,0
57,11,0,0,1,0,0,0,40,0
21,9,4,4,1,1,0,0,40,0
30,11,4,9,1,1,0,0,47,0
30,9,2,13,0,1,0,0,47,0
71,6,2,4,0,1,6514,0,40,1
38,11,0,7,3,1,0,0,28,0
24,10,2,5,0,1,0,0,40,0
62,13,2,9,0,1,0,0,60,1
35,16,3,9,1,1,0,0,60,1
69,8,5,6,1,0,0,0,28,0
25,9,2,0,5,0,0,0,28,0
39,13,4,9,1,1,0,0,40,1
22,9,2,6,0,1,0,0,45,0
31,9,2,2,0,1,0,0,40,0
23,9,2,5,0,1,0,0,40,0
43,9,2,0,5,0,0,0,40,1
46,9,2,2,0,1,0,0,40,0
57,11,2,0,0,1,0,0,28,0
45,9,2,2,0,1,0,0,40,1
25,11,4,9,3,0,0,0,28,0
30,13,4,9,1,1,0,0,50,1
43,11,4,9,1,1,0,0,40,0
53,12,2,3,0,1,15024,0,40,1
27,10,4,0,1,0,0,0,45,0
23,11,4,2,4,0,0,0,40,0
58,13,2,3,0,1,0,0,45,1
40,10,2,9,0,1,7298,0,40,1
20,10,4,11,3,0,0,0,28,0
43,9,2,0,0,1,0,0,40,0
28,11,4,3,3,1,0,0,47,0
29,9,2,9,0,1,0,0,40,0
59,13,2,9,0,1,99999,0,43,1
54,13,2,3,0,1,7688,0,40,1
36,11,2,9,0,1,3908,0,40,0
37,10,4,0,1,0,0,0,40,0
17,8,4,0,3,1,0,0,40,0
38,10,0,3,1,0,0,0,42,0
37,9,2,7,2,0,0,0,35,0
34,11,2,0,0,1,0,0,45,1
62,8,2,7,0,1,0,0,35,0
26,9,0,3,3,1,0,0,40,0
61,8,6,5,1,0,0,0,40,0
43,9,2,6,5,0,0,0,28,0
43,13,0,9,1,1,0,0,65,1
18,8,4,11,3,0,0,0,28,0
21,9,4,11,1,0,0,0,40,0
57,8,5,0,1,1,0,0,40,0
28,11,2,2,0,1,0,0,47,0
41,8,5,7,4,0,0,0,33,0
43,10,0,0,4,0,0,0,28,0
50,15,2,3,0,1,0,0,52,1
44,9,2,0,0,1,0,0,48,1
30,11,4,3,3,0,0,0,47,0
52,10,2,2,0,1,5013,0,40,0
36,11,0,0,4,0,0,0,40,0
43,11,4,12,1,0,0,0,40,0
27,11,0,7,4,0,0,0,40,0
71,9,6,0,4,1,0,0,28,0
47,11,2,4,0,1,0,0,47,0
29,10,2,2,0,1,0,1485,40,1
42,8,3,7,1,0,0,0,35,0
36,9,4,0,3,1,0,0,40,0
37,9,5,6,3,1,0,0,47,0
40,13,2,3,0,1,0,1977,50,1
47,12,2,3,5,0,0,0,55,1
38,9,0,0,1,0,0,0,47,0
58,9,2,3,5,0,0,0,25,1
48,8,2,5,0,1,0,0,40,0
61,8,2,2,0,1,0,0,40,0
68,8,2,4,0,1,0,0,35,0
21,9,4,11,1,1,0,0,47,0
61,9,6,12,1,0,0,0,40,0
40,10,0,3,1,0,0,0,40,1
37,11,4,0,1,0,0,0,40,0
52,13,2,3,0,1,0,0,50,1
44,9,2,3,5,0,3103,0,40,1
39,9,0,12,4,0,0,0,47,0
18,8,4,11,3,0,0,0,28,0
41,10,2,4,0,1,0,0,40,1
35,8,2,2,0,1,0,0,40,0
19,9,4,13,3,1,0,0,40,0
31,9,2,13,0,1,0,0,38,0
65,9,4,0,4,0,0,0,40,0
27,10,4,2,1,1,0,0,40,0
40,11,0,3,4,0,1506,0,40,0
51,11,0,2,1,1,6849,0,40,0
61,8,6,0,1,0,0,0,45,0
48,10,2,3,0,1,0,0,47,0
49,8,0,6,1,0,0,0,32,0
23,9,4,11,3,0,8614,0,25,1
56,9,0,0,1,0,0,0,40,0
70,10,4,0,1,0,0,0,28,0
55,13,2,9,0,1,7298,0,40,1
23,11,4,3,3,1,0,0,40,0
41,9,2,11,0,1,0,0,40,1
42,8,2,7,0,1,0,0,40,0
18,9,4,11,3,0,0,0,28,0
48,11,0,9,4,0,0,0,47,0
24,10,5,10,1,1,0,0,47,0
23,11,4,0,3,0,0,0,40,0
50,16,2,9,0,1,15024,0,40,1
77,8,2,13,0,1,0,0,28,0
53,9,0,9,1,1,4787,0,46,1
33,7,2,2,0,1,0,0,45,1
25,11,2,11,0,1,0,0,40,0
56,13,2,0,0,1,0,0,45,1
27,10,2,9,0,1,0,0,40,0
34,9,4,7,1,0,0,0,28,0
56,9,2,11,5,0,0,0,36,0
45,8,2,7,0,1,0,0,47,0
46,10,0,9,4,0,1506,0,47,0
23,9,2,6,0,1,0,1573,30,0
39,11,4,9,1,1,0,0,47,0
21,10,4,0,3,0,0,0,28,0
29,9,4,11,1,0,0,0,28,0
40,10,2,2,0,1,0,0,47,0
26,11,2,0,5,0,0,0,40,0
54,16,6,12,4,1,0,2472,40,1
58,11,2,2,0,1,0,0,42,0
31,10,2,2,0,1,0,0,40,1
51,13,2,9,0,1,0,0,55,1
75,10,6,0,1,0,0,0,28,0
41,9,4,7,3,1,0,0,40,0
25,9,4,12,1,0,0,0,40,0
36,11,2,3,0,1,0,0,47,0
38,11,2,2,0,1,0,0,40,0
37,10,5,0,1,1,0,0,40,0
42,13,2,12,0,1,7298,0,45,1
38,11,0,0,4,0,0,0,40,0
36,14,2,9,5,0,0,0,50,1
18,8,4,5,3,0,0,0,28,0
58,8,0,7,4,0,0,0,47,0
38,9,2,10,0,1,0,0,54,1
46,9,2,2,0,1,0,0,48,1
27,9,4,5,2,1,0,0,40,0
35,12,2,3,0,1,0,0,50,1
27,11,4,9,2,0,0,0,28,0
52,10,2,13,0,1,15024,0,60,1
40,11,2,0,0,1,0,0,40,0
36,8,3,6,4,0,2977,0,40,0
37,9,0,11,4,0,0,0,28,0
27,9,4,6,1,0,0,0,40,0
33,11,2,11,0,1,0,0,40,0
20,9,4,0,2,1,0,0,28,0
34,10,2,3,0,1,0,0,55,1
23,9,4,7,1,0,0,0,28,0
28,13,2,11,0,1,0,0,50,1
58,10,6,7,1,0,0,0,40,0
28,11,4,3,1,1,0,0,47,0
36,16,2,9,0,1,0,1887,50,1
41,11,4,2,1,1,0,0,40,0
31,10,2,0,0,1,0,0,47,0
56,10,2,6,0,1,0,0,40,0
19,9,4,4,3,1,0,0,28,0
34,11,4,0,4,0,0,0,40,0
28,13,2,3,0,1,0,0,60,1
58,10,2,3,0,1,0,0,65,1
55,11,4,9,1,0,0,0,40,0
36,10,2,2,0,1,0,0,40,1
41,12,2,2,0,1,15024,0,60,1
56,10,2,2,0,1,0,0,40,1
55,13,2,3,0,1,0,2415,50,1
47,10,0,0,1,0,0,0,36,0
48,10,2,5,0,1,0,0,30,0
62,14,2,3,0,1,0,0,48,1
32,8,4,7,1,0,0,0,40,0
45,11,2,10,0,1,0,0,40,0
47,9,2,11,0,1,0,0,65,1
29,11,2,11,0,1,0,0,41,0
67,9,2,4,0,1,0,0,47,0
41,14,2,0,5,0,0,0,50,1
45,10,2,3,0,1,0,0,40,0
50,9,2,13,0,1,0,0,40,1
32,9,4,0,1,1,0,0,40,0
23,8,2,13,0,1,0,0,32,0
60,9,2,7,5,0,99999,0,40,1
74,9,6,7,1,0,0,0,28,0
47,10,0,7,3,0,0,0,44,0
41,13,0,12,4,0,0,0,40,1
46,9,2,5,0,1,0,0,40,0
35,10,4,6,1,0,0,0,30,0
34,8,4,5,3,1,0,0,40,0
29,9,2,3,0,1,0,0,47,0
53,16,2,9,0,1,0,0,40,1
27,11,4,10,1,1,0,0,47,0
20,11,4,12,3,0,0,0,28,0
26,9,4,10,4,1,0,0,44,0
62,11,2,9,0,1,0,0,45,0
42,11,2,9,0,1,0,0,40,0
22,11,4,9,1,0,0,0,40,0
66,8,4,0,2,1,0,0,30,0
37,10,4,0,4,0,0,0,40,0
20,10,4,5,3,1,0,0,28,0
47,14,4,9,1,1,0,0,35,1
40,9,2,0,0,1,0,0,55,1
26,10,4,3,1,1,0,0,47,0
35,11,4,2,1,1,0,0,40,0
23,11,4,12,3,0,0,0,47,0
68,16,2,9,0,1,20051,0,55,1
48,10,0,7,4,0,0,0,32,0
29,11,2,10,0,1,7688,0,40,1
45,16,2,3,0,1,0,0,45,1
43,13,2,11,0,1,0,1902,55,1
47,13,2,9,0,1,0,0,45,1
37,8,2,13,0,1,0,0,45,0
26,9,4,13,1,1,0,0,40,0
36,15,0,9,4,1,25236,0,40,1
50,9,2,5,0,1,0,0,40,0
33,9,5,0,4,0,0,0,28,0
46,10,2,3,0,1,0,0,40,0
28,9,4,0,1,0,0,0,40,0
20,10,4,5,1,0,0,0,40,0
61,8,2,13,0,1,0,1651,40,0
31,14,2,12,0,1,0,1902,40,1
29,9,4,0,1,1,0,0,40,0
37,11,2,2,0,1,0,1977,40,1
24,11,2,9,0,1,0,0,28,0
37,9,0,3,4,0,0,0,28,0
56,11,5,11,4,0,0,0,36,0
39,9,4,3,3,0,0,0,47,0
61,13,2,3,5,0,0,0,30,1
21,10,4,3,1,0,4101,0,40,0
20,9,4,11,4,1,0,0,40,0
23,10,4,2,1,1,0,0,40,0
37,13,2,9,0,1,0,0,45,1
27,9,2,6,0,1,0,0,40,0
27,9,2,13,0,1,0,0,45,1
31,9,4,0,2,0,0,0,45,0
23,11,4,3,3,0,0,0,40,0
46,9,2,5,0,1,0,1740,35,0
75,8,6,12,1,0,0,0,32,0
26,11,4,0,4,1,0,0,40,0
30,9,4,7,1,1,0,0,40,0
21,10,4,0,1,0,0,0,28,0
26,10,2,11,0,1,0,0,50,1
21,10,4,7,3,0,0,0,28,0
50,13,2,0,0,1,15024,0,40,1
19,10,4,0,3,0,0,0,45,0
26,9,4,5,3,0,0,0,40,0
26,10,4,2,4,1,0,0,40,0
44,9,2,13,0,1,0,0,50,1
65,11,2,0,0,1,2653,0,30,0
27,11,4,11,1,0,0,2258,47,0
22,10,4,4,3,1,0,0,47,0
21,10,4,0,3,1,0,0,28,0
25,9,4,0,4,0,0,0,40,0
44,10,3,2,4,0,1506,0,45,0
21,10,4,0,1,0,0,0,43,0
28,10,2,4,0,1,0,0,47,0
31,9,2,7,0,1,0,0,40,0
50,11,3,0,2,1,0,0,40,0
77,8,2,3,0,1,0,0,28,0
17,8,4,11,1,0,0,0,28,0
58,9,2,2,0,1,0,0,40,0
68,8,6,6,1,0,0,0,28,0
54,13,2,9,5,0,3103,0,40,1
60,8,2,6,0,1,0,0,47,0
21,11,2,0,2,0,0,1579,40,0
25,9,4,4,3,1,0,0,40,0
41,11,0,3,1,1,0,0,40,0
18,10,4,0,3,1,0,0,28,0
21,8,4,4,1,1,0,0,36,0
47,11,4,7,1,0,0,0,47,0
56,9,0,2,4,0,0,0,40,0
35,10,2,2,0,1,0,0,47,0
20,10,4,2,3,1,0,0,28,0
35,8,0,6,4,0,0,0,40,0
48,8,2,5,0,1,0,0,40,0
20,10,4,7,3,0,0,0,28,0
45,9,0,0,4,0,0,0,28,0
19,10,4,10,3,1,0,0,30,0
31,8,0,11,2,0,0,0,40,0
21,10,4,12,3,1,0,0,35,0
33,14,4,3,1,1,0,0,40,1
20,10,4,0,3,0,0,0,30,0
33,8,5,3,4,0,0,0,30,0
22,10,4,0,3,0,0,0,37,0
45,13,2,11,0,1,0,0,52,1
40,9,2,3,0,1,0,0,40,0
64,7,2,2,0,1,0,0,40,1
33,11,4,9,1,0,0,0,40,0
29,8,0,2,4,0,0,0,47,0
36,13,0,3,1,1,4787,0,40,1
29,11,2,7,0,1,0,0,40,0
28,8,4,7,4,0,0,0,28,0
45,9,5,0,4,0,0,0,28,0
50,13,2,3,0,1,0,1902,40,1
28,10,2,5,0,1,0,0,40,0
41,10,0,7,1,1,0,0,28,0
50,9,2,3,0,1,0,0,40,1
22,10,2,0,5,0,0,0,28,0
31,10,2,3,5,0,0,0,40,0
35,8,4,7,3,1,0,0,40,0
42,9,2,11,0,1,0,0,47,0
36,11,2,7,0,1,0,0,40,0
60,8,6,13,4,1,0,0,40,0
21,10,4,0,3,0,0,0,40,0
25,9,4,3,3,0,0,0,40,0
45,9,2,7,0,1,0,0,40,0
20,10,4,9,3,1,0,0,28,0
27,9,4,7,4,0,0,0,47,0
37,10,4,11,1,1,0,0,47,0
28,10,4,7,1,1,0,0,28,0
66,8,6,4,4,1,0,0,47,0
33,9,2,6,0,1,0,0,40,1
27,10,4,2,1,1,0,0,35,0
22,10,4,2,3,1,0,0,40,0
36,8,2,2,0,1,0,0,40,0
23,10,4,0,3,1,0,1719,40,0
20,9,4,2,3,1,0,0,40,0
19,10,4,0,3,0,0,0,28,0
40,10,0,0,1,0,0,0,47,0
54,9,2,3,0,1,0,0,36,1
63,9,4,0,1,1,0,0,28,0
69,11,6,0,1,0,0,0,28,0
64,11,2,3,0,1,0,0,45,0
43,10,2,2,0,1,0,0,40,0
46,14,2,3,0,1,0,0,50,1
43,9,5,13,1,1,0,0,40,0
55,10,2,3,0,1,0,0,65,1
25,9,4,9,1,1,0,0,40,0
22,9,5,7,4,0,0,0,35,0
39,9,2,6,0,1,0,1887,40,1
26,8,4,0,1,0,2907,0,40,0
59,9,6,2,1,1,0,0,28,0
43,11,0,0,4,0,0,0,40,0
17,8,4,11,3,0,0,0,28,0
48,11,5,12,1,1,0,0,47,0
24,10,2,6,0,1,0,0,40,0
58,8,2,11,0,1,0,0,40,0
39,10,2,6,0,1,0,0,47,0
41,13,2,3,0,1,0,0,40,1
33,11,4,3,1,0,0,0,40,0
29,8,2,4,5,0,0,0,40,0
25,11,4,0,3,1,0,0,47,0
43,9,0,7,4,1,5721,0,40,0
65,9,2,3,0,1,9386,0,40,1
53,11,2,4,0,1,0,0,47,0
63,9,2,2,0,1,0,0,40,0
40,9,2,2,0,1,0,0,40,1
34,9,0,2,1,1,3325,0,35,0
33,9,4,12,1,0,0,0,47,0
37,10,4,12,2,0,0,0,40,0
48,9,2,0,0,1,0,0,40,1
25,10,2,11,0,1,0,0,45,0
56,11,2,0,0,1,0,0,28,0
44,9,2,3,0,1,0,0,60,1
39,9,0,5,1,1,0,0,40,0
52,8,2,3,0,1,0,0,40,0
36,11,4,0,1,0,0,0,47,0
17,10,4,2,3,1,0,0,28,0
63,8,2,7,0,1,0,0,28,0
39,10,5,2,4,1,0,0,45,0
21,9,4,5,4,1,0,0,45,0
19,8,4,0,3,1,0,0,38,0
54,9,6,5,4,0,0,0,40,0
57,11,2,11,0,1,0,2129,47,0
39,9,2,3,0,1,0,0,60,1
36,11,0,9,1,0,0,0,40,0
23,10,4,0,1,1,0,0,40,0
29,10,2,3,0,1,0,0,40,0
34,15,2,9,0,1,0,0,50,1
17,8,4,9,3,1,0,0,28,0
49,10,2,11,0,1,0,0,47,0
27,11,4,11,1,1,0,0,40,0
60,13,2,3,0,1,7298,0,60,1
62,11,2,0,0,1,0,0,28,0
20,10,4,3,3,1,0,0,40,0
31,9,0,11,4,0,0,0,40,0
25,9,4,7,2,1,4101,0,47,0
18,8,4,11,4,0,0,0,28,0
30,10,4,3,1,0,0,0,47,0
45,9,2,13,0,1,0,0,40,1
47,7,2,2,0,1,7298,0,40,1
19,10,4,0,3,0,0,0,32,0
36,13,2,9,0,1,0,0,50,1
65,10,2,3,0,1,0,0,30,1
27,11,4,13,2,1,0,0,35,0
46,9,0,3,4,0,0,0,38,1
53,9,2,7,0,1,0,0,40,0
33,8,4,11,3,0,0,0,28,0
30,11,4,9,1,0,0,0,40,0
53,8,2,13,0,1,0,0,40,0
30,11,2,11,0,1,0,0,40,0
30,10,2,0,0,1,0,0,50,1
40,9,2,6,0,1,0,0,40,1
19,9,4,11,3,1,0,0,28,0
18,8,4,11,3,1,0,0,28,0
49,10,0,0,4,0,0,0,32,0
48,13,4,9,1,1,0,0,35,1
54,11,2,2,0,1,0,0,40,0
36,10,2,2,0,1,7298,0,45,1
33,9,2,13,0,1,0,0,47,0
37,9,0,2,4,0,0,0,47,0
31,8,2,11,0,1,0,0,47,0
20,10,4,13,3,1,0,0,40,0
75,11,6,0,1,1,0,0,28,0
46,10,2,10,0,1,0,0,40,1
28,11,4,2,3,1,0,0,28,0
27,11,4,9,3,0,0,0,40,0
24,10,4,5,3,0,0,0,30,0
53,11,2,0,0,1,0,0,40,0
41,10,6,4,4,1,0,0,40,0
57,8,2,2,0,1,0,0,40,0
38,11,4,2,1,1,0,0,40,0
20,9,4,7,3,0,0,0,30,0
26,7,2,0,0,1,0,0,40,1
47,9,2,6,5,0,15024,0,40,1
20,9,4,7,2,1,0,0,40,0
37,12,2,9,0,1,0,0,45,1
26,9,2,5,0,1,0,0,40,0
21,9,4,7,3,1,0,0,47,0
19,9,4,11,1,0,0,0,35,0
65,12,2,0,0,1,20051,0,25,1
25,10,4,0,1,1,0,1980,40,0
30,9,4,2,1,1,0,0,40,0
41,10,2,13,0,1,0,1848,65,1
30,9,2,6,0,1,3942,0,40,0
48,14,2,9,0,1,0,1902,40,1
38,10,2,5,0,1,0,0,40,0
32,9,2,2,0,1,3942,0,32,0
26,9,4,0,3,0,0,0,40,0
33,10,4,9,1,0,3674,0,28,0
41,9,0,3,1,1,0,0,40,0
34,9,0,2,1,1,0,0,47,0
35,10,0,12,4,0,0,0,32,0
46,9,3,0,1,1,0,0,40,0
50,9,2,5,0,1,0,0,40,1
55,9,4,0,1,0,0,0,45,0
24,9,2,7,0,1,0,0,40,0
34,11,2,9,5,0,0,0,40,0
41,9,2,13,0,1,0,0,40,0
29,13,2,9,0,1,0,0,50,1
43,16,3,9,4,1,25236,0,64,1
37,11,0,3,1,0,0,0,47,0
29,11,4,9,3,1,0,0,47,0
48,10,4,0,1,1,0,0,35,0
35,11,2,11,0,1,0,0,47,0
20,10,4,7,1,1,0,0,45,0
28,9,2,7,3,0,0,0,35,0
46,8,2,3,0,1,0,0,47,0
45,9,2,0,5,0,0,0,37,0
48,11,0,3,1,1,0,0,47,0
43,11,2,11,5,0,0,0,47,0
55,14,2,9,0,1,0,1977,40,1
41,11,0,7,1,0,0,0,47,0
39,13,2,3,0,1,15024,0,40,1
43,9,0,6,1,0,0,0,28,0
41,9,2,2,0,1,0,0,40,0
43,9,4,5,3,1,0,0,40,0
27,10,4,0,3,0,0,0,40,0
45,13,2,2,0,1,0,0,40,1
53,8,2,6,0,1,0,0,40,0
47,13,2,0,0,1,0,0,40,1
26,11,4,0,3,1,0,0,40,0
27,9,2,0,0,1,4386,0,40,1
29,11,4,9,3,0,0,0,42,0
33,11,2,6,0,1,0,0,47,0
42,10,0,0,1,0,0,0,38,0
37,9,2,2,5,0,0,0,40,1
17,8,4,0,3,0,0,0,28,0
45,9,2,3,0,1,0,0,47,0
38,8,3,7,1,1,0,0,45,0
31,8,2,5,0,1,0,0,47,0
25,11,2,3,5,0,0,0,40,0
39,15,2,3,0,1,0,0,55,1
32,9,2,6,0,1,0,0,40,0
39,8,2,13,0,1,15024,0,65,1
50,9,2,10,0,1,0,0,38,1
53,8,2,6,0,1,0,0,40,0
20,11,4,9,1,1,0,0,30,0
44,10,2,2,0,1,0,0,58,1
32,10,0,11,1,1,0,0,40,0
44,14,2,9,0,1,0,1887,35,1
25,9,4,4,1,1,0,0,36,0
58,9,2,2,0,1,0,0,40,0
34,8,0,7,4,0,0,0,40,0
51,11,2,2,0,1,0,0,47,0
52,8,2,2,0,1,0,0,45,0
31,11,0,9,3,0,0,0,40,0
53,8,2,0,5,0,0,0,40,0
36,9,2,6,0,1,0,0,40,0
20,10,4,11,3,0,0,0,28,0
24,11,4,9,1,0,0,0,47,0
19,8,4,5,1,1,0,0,47,0
24,10,2,6,5,0,0,0,40,0
21,10,4,11,3,0,0,0,28,0
34,14,2,3,0,1,0,0,50,1
21,11,4,12,3,0,0,0,30,0
27,11,2,0,5,0,0,0,40,0
23,9,4,0,1,0,0,0,40,0
65,11,2,3,0,1,0,0,50,1
30,11,2,11,0,1,0,0,47,0
55,9,2,13,0,1,0,0,40,0
37,12,4,3,1,0,0,0,50,1
19,9,4,5,3,1,0,0,40,0
30,9,2,13,0,1,0,0,40,0
23,11,4,7,1,1,0,0,40,0
48,13,2,3,0,1,0,0,40,1
27,9,4,7,1,1,0,0,47,0
20,10,4,11,3,0,0,0,28,0
34,9,0,0,4,0,0,0,40,0
34,9,5,0,4,0,7443,0,35,0
27,9,4,11,1,1,0,0,30,0
32,10,2,6,0,1,0,0,47,0
22,10,4,0,3,0,0,0,28,0
52,10,2,3,0,1,0,0,40,0
42,10,4,0,1,1,0,0,45,0
34,10,2,3,0,1,0,0,45,1
53,8,0,7,1,0,0,0,36,0
20,9,4,5,3,1,0,0,45,0
54,10,2,3,0,1,0,0,44,1
27,10,4,3,1,0,0,0,47,0
39,10,2,0,3,0,0,0,50,1
31,8,2,5,0,1,0,0,40,0
29,10,4,5,1,1,0,0,45,0
24,10,2,11,0,1,0,2057,45,0
28,13,2,9,0,1,0,1887,40,1
34,10,2,4,0,1,0,0,47,0
20,10,4,9,3,1,0,0,40,0
61,14,0,9,1,0,0,0,40,1
33,9,2,5,0,1,3781,0,40,0
